Monto	Unidad Monetaria	Valor UF	M2	Baños	Dormitorios	Comuna
355000	CLP	9,06	40	1	1	Santiago
435000	CLP	11,1	45	1	1	Santiago
250000	CLP	6,38	33	1	1	Santiago
465000	CLP	11,87	60	2	2	Santiago
290000	CLP	7,4	30	1	1	Santiago
280000	CLP	7,15	34	1	1	Santiago
450000	CLP	11,49	53	2	2	Santiago
330000	CLP	8,42	38	1	2	Santiago
450000	CLP	11,49	36	1	1	Santiago
150000	CLP	3,83	27	1	1	Santiago
350000	CLP	8,93	35	1	1	Santiago
350000	CLP	8,93	32	1	1	Santiago
350000	CLP	8,93	35	1	1	Santiago
500000	CLP	12,76	55	2	2	Santiago
500000	CLP	12,76	52	2	2	Santiago
410000	CLP	10,46	40	1	1	Santiago
290000	CLP	7,4	29	1	1	Santiago
430000	CLP	10,98	38	1	1	Santiago
450000	CLP	11,49	38	1	1	Santiago
250000	CLP	6,38	33	1	1	Santiago
300000	CLP	7,66	33	1	1	Santiago
280000	CLP	7,15	22	1	1	Santiago
400000	CLP	10,21	43	1	1	Santiago
360000	CLP	9,19	40	2	2	Santiago
290000	CLP	7,4	32	1	1	Santiago
458000	CLP	11,69	57	2	2	Santiago
650000	CLP	16,59	70	2	3	Santiago
250000	CLP	6,38	25	1	1	Santiago
300000	CLP	7,66	32	1	1	Santiago
300000	CLP	7,66	37	1	1	Santiago
350000	CLP	8,93	36	1	1	Santiago
350000	CLP	8,93	30	1	1	Santiago
400000	CLP	10,21	40	1	1	Santiago
320000	CLP	8,17	28	1	1	Santiago
235000	CLP	6	20	1	1	Santiago
380000	CLP	9,7	45	1	1	Santiago
365000	CLP	9,32	38	1	1	Santiago
450000	CLP	11,49	45	2	2	Santiago
500000	CLP	12,76	40	1	2	Santiago
380000	CLP	9,7	40	1	2	Santiago
465000	CLP	11,87	45	2	2	Santiago
250000	CLP	6,38	42	1	1	Santiago
329000	CLP	8,4	28	1	1	Santiago
320000	CLP	8,17	40	1	1	Santiago
300000	CLP	7,66	40	1	1	Santiago
350000	CLP	8,93	33	1	1	Santiago
350000	CLP	8,93	40	1	1	Santiago
300000	CLP	7,66	40	1	1	Santiago
320000	CLP	8,17	40	1	1	Santiago
300000	CLP	7,66	40	1	1	Santiago
300000	CLP	7,66	40	1	1	Santiago
300000	CLP	7,66	40	1	1	Santiago
300000	CLP	7,66	40	1	1	Santiago
320000	CLP	8,17	35	1	1	Santiago
400000	CLP	10,21	62	1	2	Santiago
435000	CLP	11,1	42	1	2	Santiago
13	UF	13	57	1	1	Santiago
250000	CLP	6,38	35	1	1	Santiago
350000	CLP	8,93	34	1	1	Santiago
480000	CLP	12,25	55	2	2	Santiago
345000	CLP	8,81	30	1	1	Santiago
300000	CLP	7,66	30	1	1	Santiago
420000	CLP	10,72	67	1	2	Santiago
372000	CLP	9,49	44	2	2	Santiago
354000	CLP	9,04	27	1	1	Santiago
271000	CLP	6,92	21	1	1	Santiago
466000	CLP	11,89	48	2	2	Santiago
336000	CLP	8,58	29	1	1	Santiago
570000	CLP	14,55	56	2	2	Santiago
350000	CLP	8,93	49	1	2	Santiago
280000	CLP	7,15	25	1	1	Santiago
300000	CLP	7,66	30	1	1	Santiago
415000	CLP	10,59	42	1	2	Santiago
322000	CLP	8,22	38	1	1	Santiago
320000	CLP	8,17	34	1	1	Santiago
465000	CLP	11,87	51	2	2	Santiago
405000	CLP	10,34	43	1	2	Santiago
489000	CLP	12,48	55	2	2	Santiago
291000	CLP	7,43	29	1	1	Santiago
301000	CLP	7,68	33	1	1	Santiago
361000	CLP	9,21	45	1	2	Santiago
296000	CLP	7,56	33	1	1	Santiago
314000	CLP	8,01	33	1	1	Santiago
306000	CLP	7,81	30	1	1	Santiago
392000	CLP	10,01	45	2	2	Santiago
335000	CLP	8,55	37	1	1	Santiago
310000	CLP	7,91	34	1	1	Santiago
430000	CLP	10,98	50	1	2	Santiago
471000	CLP	12,02	48	2	2	Santiago
328000	CLP	8,37	36	1	1	Santiago
336000	CLP	8,58	30	1	1	Santiago
427000	CLP	10,9	58	2	2	Santiago
269000	CLP	6,87	27	1	1	Santiago
272000	CLP	6,94	38	1	1	Santiago
405000	CLP	10,34	42	1	2	Santiago
282000	CLP	7,2	25	1	1	Santiago
500000	CLP	12,76	56	2	2	Santiago
361000	CLP	9,21	57	1	2	Santiago
312000	CLP	7,96	39	1	1	Santiago
317000	CLP	8,09	31	1	1	Santiago
283000	CLP	7,22	36	1	1	Santiago
250000	CLP	6,38	23	1	1	Santiago
286000	CLP	7,3	28	1	1	Santiago
336000	CLP	8,58	45	1	1	Santiago
436000	CLP	11,13	45	2	2	Santiago
379000	CLP	9,67	55	2	2	Santiago
295000	CLP	7,53	33	1	1	Santiago
340000	CLP	8,68	28	1	1	Santiago
410000	CLP	10,46	42	1	2	Santiago
329000	CLP	8,4	28	1	1	Santiago
335000	CLP	8,55	28	1	1	Santiago
494000	CLP	12,61	39	1	1	Santiago
299000	CLP	7,63	30	1	1	Santiago
329000	CLP	8,4	33	1	1	Santiago
289000	CLP	7,38	39	1	1	Santiago
295000	CLP	7,53	26	1	1	Santiago
302000	CLP	7,71	37	1	1	Santiago
480000	CLP	12,25	53	2	2	Santiago
463000	CLP	11,82	55	2	2	Santiago
453000	CLP	11,56	52	2	2	Santiago
350000	CLP	8,93	30	1	1	Santiago
350000	CLP	8,93	53	1	2	Santiago
